stock_name,symbol,industry
Avenue Super.,DMART,Diversified Retail
Electronics Mart,EMIL,Diversified Retail
Future Consumer,FCONSUMER,Diversified Retail
Future Enterp.,FEL,Diversified Retail
Future Ent. DVR,FELDVR,Diversified Retail
Future Lifestyle,FLFL,Diversified Retail
Jay Jalaram Tech,KORE,Diversified Retail
On Door Concepts,ONDOOR,Diversified Retail
Osia Hyper Reta.,OSIAHYPER,Diversified Retail
Patel Retail,PATELRMART,Diversified Retail
JHS Svend.Retail,RETAIL,Diversified Retail
Shoppers Stop,SHOPERSTOP,Diversified Retail
Spencer's Retail,SPENCERS,Diversified Retail
V-Mart Retail,VMART,Diversified Retail
Vishal Mega Mart,VMM,Diversified Retail
Swiss Military,SWISSMLTRY,Diversified consumer products
Virtuoso Optoel.,543597,Diversified consumer products
Yash Optics,YASHOPTICS,Diversified consumer products
Dredging Corpn.,DREDGECORP,Dredging
Knowledge Marine,KMEW,Dredging
Ultramarine Pig.,ULTRAMAR,Dyes And Pigments
AksharChem (I),AKSHARCHEM,Dyes And Pigments
Arunaya Organics,ARUNAYA,Dyes And Pigments
Asahi Songwon,ASAHISONG,Dyes And Pigments
Bhageria Indust.,BHAGERIA,Dyes And Pigments
Bodal Chemicals,BODALCHEM,Dyes And Pigments
Ducol Organics,DUCOL,Dyes And Pigments
Heubach Colorant,HEUBACHIND,Dyes And Pigments
Hindprakash Indu,HPIL,Dyes And Pigments
Kiri Industries,KIRIINDUS,Dyes And Pigments
Mahickra Chem.,MAHICKRA,Dyes And Pigments
Paragon Fine,PARAGON,Dyes And Pigments
Poddar Pigments,PODDARMENT,Dyes And Pigments
Prolife Indust.,PROLIFE,Dyes And Pigments
Sh.Pushkar Chem.,SHREEPUSHK,Dyes And Pigments
Sudarshan Chem.,SUDARSCHEM,Dyes And Pigments
Ushanti Colour,UCL,Dyes And Pigments
Unilex Colour &C,UNILEX,Dyes And Pigments
Yasons Chemex,YCCL,Dyes And Pigments
Jetking Infotrai,JETKINGQ,E-Learning
Sodhani Academy,544257,E-Learning
Docmode Health,DHTL,E-Learning
G-Tec Janix,GTECJAINX,E-Learning
Jaro Institute,JARO,E-Learning
Addictive Learn,LAWSIKHO,E-Learning
MPS,MPSLTD,E-Learning
Usha Mart. Edu.,UMESLTD,E-Learning
Veranda Learning,VERANDA,E-Learning
Add-Shop E-Reta.,541865,E-Retail/ E-Commerce
Fone4 Communica.,543521,E-Retail/ E-Commerce
Pace E-Commerce,AERPACE,E-Retail/ E-Commerce
Macfos,543787,E-Retail/ E-Commerce
Ahasolar Technol,AHASOLAR,E-Retail/ E-Commerce
Finelistings Tec,ELITECON,E-Retail/ E-Commerce
Cartrade Tech,CARTRADE,E-Retail/ E-Commerce
Net Avenue,CBAZAAR,E-Retail/ E-Commerce
Digidrive Dist.,DIGIDRIVE,E-Retail/ E-Commerce
Eternal Ltd,ETERNAL,E-Retail/ E-Commerce
Brainbees Solut.,FIRSTCRY,E-Retail/ E-Commerce
Intrasoft Tech.,ISFT,E-Retail/ E-Commerce
Kaushalya,KLL,E-Retail/ E-Commerce
FSN E-Commerce,NYKAA,E-Retail/ E-Commerce
RattanIndia Ent,RTNINDIA,E-Retail/ E-Commerce
Swiggy,SWIGGY,E-Retail/ E-Commerce
Urban Company,URBANCO,E-Retail/ E-Commerce
Womancart,WOMANCART,E-Retail/ E-Commerce
Ajanta Soya,INDSOYA,Edible Oil
Superior Indus.,SUPER,Edible Oil
Prime Industries,PRIMEFRESH,Edible Oil
Poona Dal & Oil,POONADAL,Edible Oil
Ambar Protein,AMBARPIL,Edible Oil
CIAN Agro,CIANAGRO,Edible Oil
Vijay Solvex,SOLVEX,Edible Oil
Diligent Indust.,DILIGENT,Edible Oil
Shri Venkatesh,SHRIGANG,Edible Oil
Ambo Agritec,TAMBOLIIN,Edible Oil
Vandan Foods,ANJANIFOODS,Edible Oil
Solvex Edibles,SOLVEX,Edible Oil
AWL Agri Busine.,AWL,Edible Oil
Gokul Refoils,GOKUL,Edible Oil
Gokul Agro,GOKULAGRO,Edible Oil
KN Agri Resource,KNAGRI,Edible Oil
Kriti Nutrients,KRITINUT,Edible Oil
Marico,MARICO,Edible Oil
M K Proteins,MKPL,Edible Oil
N K Industries,NKIND,Edible Oil
Patanjali Foods,PATANJALI,Edible Oil
Ramdevbaba Sol.,RBS,Edible Oil
Rajgor Castor,RCDL,Edible Oil
Raj Oil Mills,ROML,Edible Oil
Sundrop Brands,SUNDROP,Edible Oil
Ironwood Educa,IRONWOOD,Education
VJTF Eduservices,VJTFEDU,Education
Virtual Global,SVGLOBAL,Education
Vantage Knowledg,539761,Education
Shanti Educat.,SHANTIDENM,Education
Golden Crest,GREENCREST,Education
Humming Bird Edu,FREDUN,Education
Ascensive Educa.,ASCENSIVE,Education
Aptech,APTECHT,Education
Arihant Academy,ARIHANTACA,Education
CL Educate,CLEDUCATE,Education
Compucom Soft.,COMPUSOFT,Education
Career Point Edu,CPEDU,Education
Drone Destinatio,DRONE,Education
Educomp Sol.,EDUCOMP,Education
Global Education,GLOBAL,Education
DSJ Keep Learn,KEEPLEARN,Education
LCC Infotech,LCCINFOTEC,Education
Moxsh Overseas,MOXSH,Education
MT Educare,MTEDUCARE,Education
NIIT,NIITLTD,Education
NIIT Learning,NIITMTS,Education
Tree House Edu.,TREEHOUSE,Education
Vinsys IT Serv.,VINSYS,Education
Zee Learn,ZEELEARN,Education
Nilachal Refract,NILACHAL,Electrodes & Refractories
Panasonic Carbon,PANCARBON,Electrodes & Refractories
Morganite Crucib,MORGANITE,Electrodes & Refractories
Auro Impex,AUROIMPEX,Electrodes & Refractories
DE Nora India,DENORA,Electrodes & Refractories
Graphite India,GRAPHITE,Electrodes & Refractories
HEG,HEG,Electrodes & Refractories
IFGL Refractori.,IFGLEXPOR,Electrodes & Refractories
Monolithisch Ind,MONOLITH,Electrodes & Refractories
Orient Ceratech,ORIENTCER,Electrodes & Refractories
Refractory Shap.,REFRACTORY,Electrodes & Refractories
RHI Magnesita,RHIM,Electrodes & Refractories
Royal Arc Ele.,ROYALARC,Electrodes & Refractories
Raghav Product.,RPEL,Electrodes & Refractories
SP Refractories,SPRL,Electrodes & Refractories
Vesuvius India,VESUVIUS,Electrodes & Refractories
Quint Digital,QUINT,Electronic Media
Cyber Media Ind,CYBERMEDIA,Electronic Media
Diligent Media,DNAMEDIA,Electronic Media
SAB Events,SABEVENTS,Electronic Media
Sambhaav Media,SAMBHAAV,Electronic Media
BSE,BSE,Exchange and Data Platform
Indian Energy Ex,IEX,Exchange and Data Platform
Multi Comm. Exc.,MCX,Exchange and Data Platform
Keltech Energies,506528,Explosives
Beezaasan Exp.,BEEZAASAN,Explosives
GOCL Corpn.,GOCLCORP,Explosives
Prem. Explosives,PREMEXPLN,Explosives
Solar Industries,SOLARINDS,Explosives
Chrome Silicon,ICON,Ferro & Silica Manganese
Indsil Hydro,INDSILHYD,Ferro & Silica Manganese
Nagpur Power,EMPOWER,Ferro & Silica Manganese
Facor Alloys,FACORALL,Ferro & Silica Manganese
Nilachal Carbo,PANCARBON,Ferro & Silica Manganese
Indian Metals,IMFA,Ferro & Silica Manganese
Impex Ferro Tech,IMPEXFERRO,Ferro & Silica Manganese
Jainam Ferro,JAINAM,Ferro & Silica Manganese
Maithan Alloys,MAITHANALL,Ferro & Silica Manganese
Owais Metal,OWAIS,Ferro & Silica Manganese
QVC Exports,QVCEL,Ferro & Silica Manganese
Shyam Century,SHYAMCENT,Ferro & Silica Manganese
Visa Steel,VISASTEEL,Ferro & Silica Manganese
Kothari Indl,SHINDL,Fertilizers
Teesta Agro Ind.,CIANAGRO,Fertilizers
Basant Agro Tech,CIANAGRO,Fertilizers
Bharat Agri Fert,BHARATAGRI,Fertilizers
Agro Phos India,AGROPHOS,Fertilizers
Anya Polytech &,ANYA,Fertilizers
Aries Agro,ARIES,Fertilizers
Balaji Phos.,BALAJIPHOS,Fertilizers
Chambal Fert.,CHAMBLFERT,Fertilizers
Coromandel Inter,COROMANDEL,Fertilizers
F A C T,FACT,Fertilizers
G S F C,GSFC,Fertilizers
Khaitan Chemical,KHAICHEM,Fertilizers
Krishana Phosch.,KRISHANA,Fertilizers
Madras Fertilize,MADRASFERT,Fertilizers
Mangalore Chem.,MANGCHEFER,Fertilizers
M B Agro Prod.,MBAPL,Fertilizers
Nagarjuna Fert.,NAGAFERT,Fertilizers
Natl.Fertilizer,NFL,Fertilizers
Nova Agritech,NOVAAGRI,Fertilizers
Paradeep Phosph.,PARADEEP,Fertilizers
Rama Phosphates,RAMAPHO,Fertilizers
R C F,RCF,Fertilizers
S P I C,SPIC,Fertilizers
Zuari Agro Chem.,ZUARI,Fertilizers
Mediaone Global,SVGLOBAL,Film Production
JMD Ventures,MKVENTURES,Film Production
Bombay Talkies,BOMTALKIES,Film Production
BGIL Films & Tec,511664,Film Production
Media Matrix,ESHAMEDIA,Film Production
G V Films,GHVINFRA,Film Production
Orient Tradelink,531512,Film Production
Madhuveer Com,AFCOM,Film Production
Vashu Bhagnani,532011,Film Production
Picturehouse,532355,Film Production
Baba Arts,ARTSON,Film Production
Alan Scott Ente.,ALANSCOTT,Film Production
Panorama Studios,PANORAMA,Film Production
Diksat Transworl,DIKSAT,Film Production
V R Films & Stud,VRFILMS,Film Production
Baweja Studios L,BAWEJA,Film Production
Cineline India,CINELINE,Film Production
Connplex Cinemas,CONNPLEX,Film Production
Mukta Arts,MUKTAARTS,Film Production
Prit Nandy Comm.,PNC,Film Production
Picturepost Stu.,PPSL,Film Production
PVR Inox,PVRINOX,Film Production
Tips Films,TIPSFILMS,Film Production
UFO Moviez,UFO,Film Production
Vels Film,VELS,Film Production
Haryana Fin. Co.,ARYAN,Financial Institution
Guj. State Fin.,532160,Financial Institution
H U D C O,HUDCO,Financial Institution
IFCI,IFCI,Financial Institution
Indian Renewable,IREDA,Financial Institution
I R F C,IRFC,Financial Institution
Power Fin.Corpn.,PFC,Financial Institution
REC Ltd,RECLTD,Financial Institution
Tour. Fin. Corp.,TFCILTD,Financial Institution
Vedant Asset,VEDANTASSET,Financial Products Distributor
Dharni Capital,DHARNI,Financial Products Distributor
Anand Rathi Wea.,ANANDRATHI,Financial Products Distributor
Prudent Corp.,PRUDENT,Financial Products Distributor
WSFX Global,SVGLOBAL,Financial Technology (Fintech)
AGS Transact,AGSTRA,Financial Technology (Fintech)
Infibeam Avenues,INFIBEAM,Financial Technology (Fintech)
One Mobikwik,MOBIKWIK,Financial Technology (Fintech)
MOS Utility,MOS,Financial Technology (Fintech)
One 97,PAYTM,Financial Technology (Fintech)
PB Fintech.,POLICYBZR,Financial Technology (Fintech)
Seshaasai Tech.,STYL,Financial Technology (Fintech)
Suvidhaa Info.,SUVIDHAA,Financial Technology (Fintech)
Sarup Industries,SARUPINDUS,Footwear
Lehar Footwears,LEHAR,Footwear
Marc Loire,MARCLOIRE,Footwear
Bata India,BATAINDIA,Footwear
Campus Activewe.,CAMPUS,Footwear
Khadim India,KHADIM,Footwear
Liberty Shoes,LIBERTSHOE,Footwear
Metro Brands,METROBRAND,Footwear
Redtape,REDTAPE,Footwear
Relaxo Footwear,RELAXO,Footwear
Sreeleathers,SREEL,Footwear
Natl. Plywood,516062,Forest Products
Pratik Panels,PRATIK,Forest Products
Indian Wood Prod,INDIANACRY,Forest Products
Golden Carpets,531928,Furniture
Tirupati Foam,TIRUFOAM,Furniture
Milestone Furn.,MILESTONE,Furniture
Shashwat Furnis.,543519,Furniture
Magenta Life,REMLIFE,Furniture
Ahlada Engineers,AHLADA,Furniture
BirlaNu Ltd,BIRLANU,Furniture
Durlax Top,DURLAX,Furniture
Euro Pratik Sale,EUROPRATIK,Furniture
Hardwyn India,HARDWYN,Furniture
Interiors & More,INM,Furniture
Lexus Granito,LEXUS,Furniture
Marvel Decor,MDL,Furniture
Naman In-Store,NAMAN,Furniture
Omfurn India,OMFURN,Furniture
Parin Enterpris.,PARIN,Furniture
Priti Internati.,PRITI,Furniture
Responsive Ind,RESPONIND,Furniture
Rexpro Enter.,REXPRO,Furniture
Safe Enterprises,SAFEENTP,Furniture
Sheela Foam,SFL,Furniture
Stanley Lifesty.,STANLEY,Furniture
Transteel Seatin,TRANSTEEL,Furniture
Virat Industries,VIRAT,Garments & Apparels
Bizotic Commer.,BIZOTIC,Garments & Apparels
Arvind Ltd,ARVIND,Garments & Apparels
Bella Casa Fashi,BELLACASA,Garments & Apparels
Cantabil Retail,CANTABIL,Garments & Apparels
Dollar Industrie,DOLLAR,Garments & Apparels
Filatex Fash.,FILATFASH,Garments & Apparels
Gokaldas Exports,GOKEX,Garments & Apparels
Iris Clothings,IRISDOREME,Garments & Apparels
Karnika Industri,KARNIKA,Garments & Apparels
Kitex Garments,KITEX,Garments & Apparels
Kewal Kir.Cloth.,KKCL,Garments & Apparels
Lux Industries,LUXIND,Garments & Apparels
Monte Carlo Fas.,MONTECARLO,Garments & Apparels
Page Industries,PAGEIND,Garments & Apparels
Pearl Global Ind,PGIL,Garments & Apparels
Purple United,PURPLEUTED,Garments & Apparels
Rupa & Co,RUPA,Garments & Apparels
SBC Exports,SBC,Garments & Apparels
S P Apparels,SPAL,Garments & Apparels
Saraswati Saree,SSDL,Garments & Apparels
Thomas Scott,THOMASCOTT,Garments & Apparels
VIP Clothing,VIPCLOTHNG,Garments & Apparels
Vishal Fabrics,VISHAL,Garments & Apparels
Zodiac Cloth. Co,ZODIACLOTH,Garments & Apparels
GAIL (India),GAIL,Gas Transmission/Marketing
Guj.St.Petronet,GSPL,Gas Transmission/Marketing
Indifra Ltd,INDIFRA,Gas Transmission/Marketing
Timex Group,TIMEX,Gems
Asian Star Co.,SANSTAR,Gems
Khazanchi Jewell,KHAZANCHI,Gems
Bluestone Jewel,BLUESTONE,Gems
D.P. Abhushan,DPABHUSHAN,Gems
Ethos Ltd,ETHOSLTD,Gems
Foce India,FOCE,Gems
Goldiam Intl.,GOLDIAM,Gems
Kalyan Jewellers,KALYANKJIL,Gems
KDDL Ltd,KDDL,Gems
Laxmi Goldorna,LGHL,Gems
Motisons Jewel,MOTISONS,Gems
PC Jeweller,PCJEWELLER,Gems
P N Gadgil Jewe.,PNGJL,Gems
Radhika Jeweltec,RADHIKAJWE,Gems
Rajesh Exports,RAJESHEXPO,Gems
Renaiss. Global,RGL,Gems
Senco Gold,SENCO,Gems
Shanti Gold,SHANTIGOLD,Gems
Shringar House,SHRINGARMS,Gems
Sky Gold & Diam.,SKYGOLD,Gems
T B Z,TBZ,Gems
Thangamayil Jew.,THANGAMAYL,Gems
Titan Company,TITAN,Gems
Vaibhav Global,VAIBHAVGBL,Gems
General Insuranc,GICRE,General Insurance
Go Digit General,GODIGIT,General Insurance
ICICI Lombard,ICICIGI,General Insurance
New India Assura,NIACL,General Insurance
Niva Bupa Health,NIVABUPA,General Insurance
Star Health Insu,STARHEALTH,General Insurance
La Opala RG,LAOPALA,Glass - Consumer
Agarwal Fortune,AGARWAL,Glass - Industrial
Agarwal Float,AGARWALFT,Glass - Industrial
Agarwal Toughene,AGARWALTUF,Glass - Industrial
Borosil Renew.,BORORENEW,Glass - Industrial
Borosil Scienti.,BOROSCI,Glass - Industrial
Sejal Glass,SEJALLTD,Glass - Industrial
Pacific Inds,SUMEETINDS,Granites & Marbles
Royal Cush. Vin.,ROYAL,Granites & Marbles
Elegant Marbles,MARBLE,Granites & Marbles
Aro Granite Inds,AROGRANITE,Granites & Marbles
Esprit Stones,ESPRIT,Granites & Marbles
Global Surfaces,GSLSU,Granites & Marbles
Madhav Marbles,MADHAV,Granites & Marbles
Oriental Trimex,ORIENTALTL,Granites & Marbles
Pokarna,POKARNA,Granites & Marbles
Bilcare,526853,Healthcare Research
Novelix Pharma.,NOVELIX,Healthcare Research
Jeevan Scienti.,538837,Healthcare Research
Vanta Bioscience,VANTABIO,Healthcare Research
Adeshwar Meditex,ADESHWAR,Healthcare Research
Indegene,INDGN,Healthcare Research
Suven Life Scie.,SUVEN,Healthcare Research
Syngene Intl.,SYNGENE,Healthcare Research
Take Solutions,TAKE,Healthcare Research
Vimta Labs,VIMTALABS,Healthcare Research
One Global Serv,ONEGLOBAL,Healthcare Service Provider
Family Care,FAMILYCARE,Healthcare Service Provider
Chennai Meena,523489,Healthcare Service Provider
Sharma E I Hosp.,ELITECON,Healthcare Service Provider
Bandaram Pharma,BPLPHARMA,Healthcare Service Provider
Transgene Biotek,526139,Healthcare Service Provider
Medinova Diagno.,MEDINOV,Healthcare Service Provider
Choksi Laborator,CHOKSILA,Healthcare Service Provider
N G Industries,BENGALASM,Healthcare Service Provider
3B Blackbio,3BBLACKBIO,Healthcare Service Provider
Samsrita Labs,SAMSRITA,Healthcare Service Provider
Tejnaksh Health.,TEJNAKSH,Healthcare Service Provider
Aspira Pathlab,ASPIRA,Healthcare Service Provider
Deccan Healthcar,DECCAN,Healthcare Service Provider
Gian Lifecare,GIANLIFE,Healthcare Service Provider
Star Imaging,SANSTAR,Healthcare Service Provider
Chandan Healthca,CHANDAN,Healthcare Service Provider
Krsnaa Diagnost.,KRSNAA,Healthcare Service Provider
Dr Lal Pathlabs,LALPATHLAB,Healthcare Service Provider
Metropolis Healt,METROPOLIS,Healthcare Service Provider
Nidan Laborator.,NIDAN,Healthcare Service Provider
Sastasundar Ven.,SASTASUNDR,Healthcare Service Provider
Suraksha Diagno.,SURAKSHA,Healthcare Service Provider
Thyrocare Tech.,THYROCARE,Healthcare Service Provider
Vijaya Diagnost.,VIJAYA,Healthcare Service Provider
KP Green Engg.,KPGEL,Heavy Electrical Equipment
A B B,ABB,Heavy Electrical Equipment
Atlanta Electric,ATLANTAELE,Heavy Electrical Equipment
Azad Engineering,AZAD,Heavy Electrical Equipment
Bajel Projects,BAJEL,Heavy Electrical Equipment
B H E L,BHEL,Heavy Electrical Equipment
CG Power & Ind,CGPOWER,Heavy Electrical Equipment
Elecon Engg.Co,ELECON,Heavy Electrical Equipment
Siemens Ener.Ind,ENRIN,Heavy Electrical Equipment
GE Power,GVPIL,Heavy Electrical Equipment
GE Vernova T&D,GVT&D,Heavy Electrical Equipment
Inox Wind,INOXWIND,Heavy Electrical Equipment
Hitachi Energy,POWERINDIA,Heavy Electrical Equipment
Quality Power El,QPOWER,Heavy Electrical Equipment
Schneider Elect.,SCHNEIDER,Heavy Electrical Equipment
Siemens,SIEMENS,Heavy Electrical Equipment
Skipper,SKIPPER,Heavy Electrical Equipment
Suzlon Energy,SUZLON,Heavy Electrical Equipment
T R I L,TARIL,Heavy Electrical Equipment
TD Power Systems,TDPOWERSYS,Heavy Electrical Equipment
Thermax,THERMAX,Heavy Electrical Equipment
Transrail Light,TRANSRAILL,Heavy Electrical Equipment
Triveni Turbine,TRITURBINE,Heavy Electrical Equipment
Volt.Transform.,VOLTAMP,Heavy Electrical Equipment
Indosolar,WAAREEINDO,Heavy Electrical Equipment
Integ. Industrie,531889,Holding Company
Kama Holdings,KAMAHOLD,Holding Company
Tamboli Industri,TAMBOLIIN,Holding Company
Nisus Finance,NISUS,Holding Company
Abans Financial,AFSL,Holding Company
Bajaj Finserv,BAJAJFINSV,Holding Company
Bajaj Holdings,BAJAJHLDNG,Holding Company
BF Investment,BFINVEST,Holding Company
BIL Vyapar,BILVYAPAR,Holding Company
Choice Intl.,CHOICEIN,Holding Company
Edelweiss.Fin.,EDELWEISS,Holding Company
GFL,GFLLIMITED,Holding Company
JM Financial,JMFINANCIL,Holding Company
Max India Ltd,MAXIND,Holding Company
Pilani Invest.,PILANIINVS,Holding Company
Rane Holdings,RANEHOLDIN,Holding Company
KMC Speciality,KMCSHIL,Hospital
Dr Agarwal's Eye,DRAGARWQ,Hospital
Abate As Indust,ABATEAS,Hospital
Aashka Hospitals,AASHKA,Hospital
Asarfi Hospital,543943,Hospital
Dr Agarwal's Hea,AGARWALEYE,Hospital
Apollo Hospitals,APOLLOHOSP,Hospital
Artemis Medicare,ARTEMISMED,Hospital
Aster DM Health.,ASTERDM,Hospital
Fortis Health.,FORTIS,Hospital
GPT Healthcare,GPTHEALTH,Hospital
Health.Global,HCG,Hospital
Indrapr.Medical,INDRAMEDCO,Hospital
Jupiter Life Lin,JLHL,Hospital
Krishna Institu.,KIMS,Hospital
Kovai Medical,KOVAI,Hospital
Lotus Eye Hospit,LOTUSEYE,Hospital
Max Healthcare,MAXHEALTH,Hospital
Global Health,MEDANTA,Hospital
Nephro Care,NEPHROCARE,Hospital
Narayana Hrudaya,NH,Hospital
Rainbow Child.,RAINBOW,Hospital
Shalby,SHALBY,Hospital
Unihealth Hosp,UNIHEALTH,Hospital
Yatharth Hospit.,YATHARTH,Hospital
Mac Charles(I),MACPLASQ,Hotels & Resorts
Benares Hotels,ECOHOTELS,Hotels & Resorts
U P Hotels,SPICELOUNG,Hotels & Resorts
Praveg,PRAVEG,Hotels & Resorts
Brigade Hotel,BRIGHOTEL,Hotels & Resorts
Chalet Hotels,CHALET,Hotels & Resorts
Valor Estate,DBREALTY,Hotels & Resorts
EIH Assoc.Hotels,EIHAHOTELS,Hotels & Resorts
EIH,EIHOTEL,Hotels & Resorts
HLV,HLVLTD,Hotels & Resorts
Indian Hotels Co,INDHOTEL,Hotels & Resorts
ITC Hotels,ITCHOTELS,Hotels & Resorts
I T D C,ITDC,Hotels & Resorts
Juniper Hotels,JUNIPER,Hotels & Resorts
Kamat Hotels,KAMATHOTEL,Hotels & Resorts
Lemon Tree Hotel,LEMONTREE,Hotels & Resorts
Mahindra Holiday,MHRIL,Hotels & Resorts
Oriental Hotels,ORIENTHOT,Hotels & Resorts
Apeejay Surrend.,PARKHOTELS,Hotels & Resorts
Royal Orch.Hotel,ROHLTD,Hotels & Resorts
Samhi Hotels,SAMHI,Hotels & Resorts
TajGVK Hotels,TAJGVK,Hotels & Resorts
Schloss Bangal.,THELEELA,Hotels & Resorts
Ventive Hospital,VENTIVE,Hotels & Resorts
Viceroy Hotels,VHLTD,Hotels & Resorts
Forbes & Co,FORBESCO,Household Appliances
Singer India,ADCINDIA,Household Appliances
Jaipan Industrie,JAIPAN,Household Appliances
Sai Swami Metals,META,Household Appliances
Amber Enterp.,AMBER,Household Appliances
Aspire & Innovat,ASPIRE,Household Appliances
Bajaj Electrical,BAJAJELEC,Household Appliances
Blue Star,BLUESTARCO,Household Appliances
Butterfly Gan Ap,BUTTERFLY,Household Appliances
Carysil,CARYSIL,Household Appliances
Crompton Gr. Con,CROMPTON,Household Appliances
Elin Electronics,ELIN,Household Appliances
Epack Durable,EPACK,Household Appliances
Eureka Forbes,EUREKAFORB,Household Appliances
Greenchef Appli.,GREENCHEF,Household Appliances
IFB Industries,IFBIND,Household Appliances
Johnson Con. Hit,JCHAC,Household Appliances
Orient Electric,ORIENTELEC,Household Appliances
Stove Kraft,STOVEKRAFT,Household Appliances
Symphony,SYMPHONY,Household Appliances
TTK Prestige,TTKPRESTIG,Household Appliances
V-Guard Industri,VGUARD,Household Appliances
Voltas,VOLTAS,Household Appliances
Wonder Electric.,WEL,Household Appliances
Whirlpool India,WHIRLPOOL,Household Appliances
Panasonic Energy,ENERGYINF,Household Products
High Energy Bat.,ENERGYINF,Household Products
Pee Cee Cosma,KAYCEEI,Household Products
Photoquip India,ADCINDIA,Household Products
Hipolin,HIPOLIN,Household Products
Yuvraaj Hygiene,YUVRAAJHPL,Household Products
Ambica Agarbat.,AMBICAAGAR,Household Products
Eveready Inds.,EVEREADY,Household Products
Jyothy Labs,JYOTHYLAB,Household Products
Indo National,NIPPOBATRY,Household Products
Hawkins Cookers,508486,Houseware
Gothi Plascon,531111,Houseware
Gorani Industrie,GORANIN,Houseware
Inflame Applian.,INFLAME,Houseware
Maruti Interior,MARUTISE,Houseware
All Time Plastic,ALLTIME,Houseware
Borosil,BOROLTD,Houseware
Cello World,CELLO,Houseware
Sahara Housing,SAHARAHOUS,Housing Finance Company
Ind Bank Housing,TANFACIND,Housing Finance Company
Manraj Hsg.Fin.,MANRAJH,Housing Finance Company
India Home Loans,INDIAHOME,Housing Finance Company
Star Housing Fin,HARAFIN,Housing Finance Company
Aadhar Hsg. Fin.,AADHARHFC,Housing Finance Company
AAVAS Financiers,AAVAS,Housing Finance Company
Aptus Value Hou.,APTUS,Housing Finance Company
Bajaj Housing,BAJAJHFL,Housing Finance Company
Can Fin Homes,CANFINHOME,Housing Finance Company
GIC Housing Fin,GICHSGFIN,Housing Finance Company
Home First Finan,HOMEFIRST,Housing Finance Company
INDIA SHELTE FIN,INDIASHLTR,Housing Finance Company
LIC Housing Fin.,LICHSGFIN,Housing Finance Company
PNB Housing,PNBHOUSING,Housing Finance Company
Repco Home Fin,REPCOHOME,Housing Finance Company
Reliance Home,RHFL,Housing Finance Company
Sammaan Capital,SAMMAANCAP,Housing Finance Company
SRG Housing,SRGHFL,Housing Finance Company
String Metaverse,META,IT Enabled Services
Affle 3i,AFFLE,IT Enabled Services
Black Box,BBOX,IT Enabled Services
Brightcom Group,BCG,IT Enabled Services
BLS E-Services,BLSE,IT Enabled Services
Cigniti Tech.,CIGNITITEC,IT Enabled Services
Cyient,CYIENT,IT Enabled Services
Datamatics Glob.,DATAMATICS,IT Enabled Services
Digitide Solutio,DIGITIDE,IT Enabled Services
E2E Networks,E2E,IT Enabled Services
eMudhra,EMUDHRA,IT Enabled Services
Genesys Intl.,GENESYS,IT Enabled Services
Inventurus Knowl,IKS,IT Enabled Services
Ivalue Infosolut,IVALUE,IT Enabled Services
IZMO,IZMO,IT Enabled Services
L&T Technology,LTTS,IT Enabled Services
Netweb Technol.,NETWEB,IT Enabled Services
Network People,NPST,IT Enabled Services
Orient Tech.,ORIENTTECH,IT Enabled Services
Protean eGov,PROTEAN,IT Enabled Services
R Systems Intl.,RSYSTEMS,IT Enabled Services
Sagility,SAGILITY,IT Enabled Services
Sasken Technol.,SASKEN,IT Enabled Services
Tata Technolog.,TATATECH,IT Enabled Services
Zaggle Prepaid,ZAGGLE,IT Enabled Services
Natl. Oxygen,OXYGENTAPH,Industrial Gases
Gagan Gases,RAJGASES,Industrial Gases
Hilltone Softwar,544308,Industrial Gases
Ellen.Indl.Gas,ELLEN,Industrial Gases
Linde India,LINDEINDIA,Industrial Gases
Refex Industries,REFEX,Industrial Gases
Stallion India,STALLION,Industrial Gases
20 Microns,20MICRONS,Industrial Minerals
Asi Industries,ASIIL,Industrial Minerals
South. Magnesium,513498,Industrial Minerals
NILE,NILE,Industrial Minerals
Kachchh Minerals,KACHCHH,Industrial Minerals
Raw Edge Indust.,RAWEDGE,Industrial Minerals
Ashapura Minech.,ASHAPURMIN,Industrial Minerals
G M D C,GMDCLTD,Industrial Minerals
Goa Carbon,GOACARBON,Industrial Minerals
Gravita India,GRAVITA,Industrial Minerals
Lloyds Metals,LLOYDSME,Industrial Minerals
MOIL,MOIL,Industrial Minerals
NMDC,NMDC,Industrial Minerals
Orissa Minerals,ORISSAMINE,Industrial Minerals
Petro Carbon,PCCL,Industrial Minerals
John Cockerill,COCKERILL,Industrial Products
WPIL,WPIL,Industrial Products
The Anup Enginee,ANUP,Industrial Products
Centum Electron,CENTUM,Industrial Products
Aditya Infotech,CPPLUS,Industrial Products
Cyient DLM,CYIENTDLM,Industrial Products
Dynamatic Tech.,DYNAMATECH,Industrial Products
GMM Pfaudler,GMMPFAUDLR,Industrial Products
HLE Glascoat,HLEGLAS,Industrial Products
Honeywell Auto,HONAUT,Industrial Products
HPL Electric,HPL,Industrial Products
Jyoti CNC Auto.,JYOTICNC,Industrial Products
Kaynes Tech,KAYNES,Industrial Products
Kennametal India,KENNAMET,Industrial Products
Lloyds Engineeri,LLOYDSENGG,Industrial Products
LMW,LMW,Industrial Products
Marine Electric.,MARINE,Industrial Products
Pennar Industrie,PENIND,Industrial Products
Pitti Engg.,PITTIENG,Industrial Products
